,title,original_language,popularity,vote_count,release_date
0,Thor: Love and Thunder,en,13642.4,1708,2022-07-06
1,Minions: The Rise of Gru,en,7369.381,1058,2022-06-29
2,Jurassic World Dominion,en,7155.21,2550,2022-06-01
3,Top Gun: Maverick,en,5655.708,1814,2022-05-24
4,The Black Phone,en,4047.213,1612,2022-06-22
5,Lightyear,en,3897.225,1446,2022-06-15
6,The Gray Man,en,3697.245,1313,2022-07-13
7,Doctor Strange in the Multiverse of Madness,en,3524.975,5114,2022-05-04
8,Dragon Knight,en,2337.953,10,2022-03-21
9,The Princess,en,2250.582,387,2022-06-16
10,Indemnity,en,2103.875,43,2022-02-11
11,Borrego,en,2068.937,34,2022-01-14
12,The Ledge,en,2173.68,75,2022-02-18
13,Last Seen Alive,en,2034.249,193,2022-05-19
14,Constantine: The House of Mystery,en,1579.354,43,2022-05-02
15,Spider-Man: No Way Home,en,1901.662,14534,2021-12-15
16,Prey,en,1631.759,1063,2022-08-02
17,Purple Hearts,en,2206.642,763,2022-07-29
18,Sonic the Hedgehog 2,en,1729.917,2707,2022-03-30
19,Shut In,en,1789.919,155,2022-03-24
20,The Exorcism of God,en,1695.244,482,2022-03-11
21,Dog,en,1723.401,750,2022-02-17
22,Bullet Train,en,1330.848,123,2022-07-03
23,Jujutsu Kaisen 0,ja,1479.828,241,2021-12-24
24,Vendetta,en,1518.553,125,2022-05-17
25,The Lost City,en,1450.133,1697,2022-03-24
26,Dragon Ball Super: Super Hero,ja,1322.169,95,2022-06-11
27,WarHunt,en,1276.13,51,2022-01-21
28,Fantastic Beasts: The Secrets of Dumbledore,en,1356.894,2469,2022-04-06
29,Hot Seat,en,1254.652,36,2022-07-01
30,The Sea Beast,en,1179.396,579,2022-06-24
31,The Man from Toronto,en,1221.595,589,2022-06-24
32,Turning Red,en,1101.194,2903,2022-03-10
33,Incantation,zh,1185.15,222,2022-03-18
34,Morbius,en,1149.526,2281,2022-03-30
35,The Northman,en,1208.806,2076,2022-04-07
36,Valley of the Dead,es,1043.487,149,2022-03-11
37,Memory,en,1121.286,644,2022-04-28
38,V for Vengeance,en,1149.55,34,2022-06-07
39,9 Bullets,en,1054.721,52,2022-04-14
40,Collision,en,1083.1,102,2022-06-16
41,Encanto,en,990.201,7084,2021-11-24
42,Asking For It,en,1013.373,14,2022-03-04
43,Uncharted,en,1012.789,2994,2022-02-10
44,Spiderhead,en,1020.354,796,2022-06-15
